x,y_hyd,y_fso,y_wat
2.065,0.0026575342465753426,0.013784817351598174,0.0061618150684931506
2.075,0.0029554794520547946,0.013495433789954337,0.0058010708849749945
2.085,0.003398972602739726,0.013611872146118722,0.005452306207871276
2.0949999999999998,0.003530821917808219,0.013131278538812786,0.0051246194824961944
2.105,0.0036866438356164383,0.013347602739726027,0.004798135464231355
2.115,0.004243150684931507,0.013118150684931508,0.00449262067840835
2.125,0.004469178082191781,0.012652968036529681,0.004188356164383561
2.135,0.0047996575342465755,0.012263698630136986,0.003917053979125897
2.145,0.0052910958904109585,0.012103310502283105,0.003649264785823005
2.1550000000000002,0.005753424657534247,0.011785388127853881,0.0033916068710589256
2.165,0.006361301369863014,0.011533675799086759,0.003153756251358991
2.175,0.006751712328767123,0.011119292237442922,0.0029284151445966512
2.185,0.0070582191780821915,0.010909246575342466,0.002693377636442705
2.1950000000000003,0.007710616438356165,0.010619292237442922,0.0024987769080234835
2.205,0.008251712328767122,0.010122716894977169,0.0023039519460752336
2.215,0.008664383561643835,0.009956050228310502,0.002113530115242444
2.225,0.009323630136986302,0.009464611872146119,0.0019408295281582953
2.2350000000000003,0.009707191780821918,0.009125570776255709,0.001775664546640574
2.245,0.01021404109589041,0.008955479452054795,0.0016250135899108502
2.255,0.010842465753424657,0.008621575342465753,0.001487143944335725
2.265,0.011827054794520548,0.00839783105022831,0.001357577734290063
2.2750000000000004,0.012410958904109589,0.008075342465753425,0.0012371235594694498
2.285,0.01278595890410959,0.007844178082191781,0.001121616112198304
2.295,0.013539383561643836,0.007545091324200913,0.0010236600347901718
2.305,0.01408904109589041,0.0070976027397260276,0.0009182091215481626
2.315,0.01476027397260274,0.00677796803652968,0.0008320219069362905
2.325,0.015147260273972602,0.006647260273972603,0.0007566522613611655
2.335,0.015679794520547945,0.006355593607305936,0.0006822610893672537
2.3449999999999998,0.015763698630136987,0.00615810502283105,0.0006175527288540988
2.355,0.016732876712328766,0.005871575342465753,0.0005516416612307023
2.365,0.01748972602739726,0.005456050228310502,0.0004892911502500544
2.375,0.01804623287671233,0.0050622146118721465,0.00044012964774951075
2.385,0.018272260273972604,0.0050976027397260275,0.00039914247662535334
2.395,0.01819178082191781,0.0048407534246575346,0.0003571700369645575
2.4050000000000002,0.018981164383561643,0.004489155251141553,0.00031719531419873885
2.415,0.01920719178082192,0.004344178082191781,0.0002825886062187432
2.425,0.019378424657534248,0.004070776255707762,0.0002462967492933246
2.435,0.019416095890410958,0.003980593607305936,0.00021833550771906937
2.4450000000000003,0.019748287671232878,0.0037049086757990866,0.00019721678625788216
2.455,0.020164383561643837,0.0034726027397260274,0.00016955452272233095
2.465,0.02061986301369863,0.003339041095890411,0.00015485703413785606
2.475,0.0205,0.0030519406392694065,0.00013401011089367253
2.4850000000000003,0.020840753424657535,0.0029372146118721463,0.00011529680365296804
2.495,0.020477739726027396,0.00283162100456621,0.00010142829963035443
2.505,0.020587328767123287,0.002622146118721461,8.921776473146336e-05
2.515,0.020712328767123287,0.00246175799086758,7.746928680147858e-05
2.5250000000000004,0.02010958904109589,0.0023476027397260272,6.624402043922591e-05
2.535,0.020409246575342467,0.0022031963470319636,5.872200478364862e-05
2.545,0.01977054794520548,0.0020513698630136986,5.170281582952816e-05
2.555,0.01948972602739726,0.0020182648401826484,4.511170906718852e-05
2.565,0.019710616438356164,0.0019263698630136985,3.7881876494890195e-05
2.575,0.018580479452054793,0.001721461187214612,3.2248858447488584e-05
2.585,0.017763698630136986,0.0016438356164383563,2.8396118721461187e-05
2.5949999999999998,0.017142123287671233,0.0015513698630136986,2.4815177212437486e-05
2.605,0.01693150684931507,0.0013590182648401826,2.1424494455316372e-05
2.615,0.016174657534246576,0.0013276255707762557,1.740867579908676e-05
2.625,0.015070205479452054,0.0012254566210045661,1.4439280278321373e-05
2.635,0.014806506849315068,0.0010856164383561645,1.2196944988040879e-05
2.645,0.013854452054794521,0.0010205479452054795,1.0355512067840834e-05
2.6550000000000002,0.013655821917808219,0.0009646118721461188,9.444988040878451e-06
2.665,0.01290582191780822,0.0009389269406392694,7.820993694281366e-06
2.675,0.012198630136986301,0.000867579908675799,6.563926940639269e-06
2.685,0.01138527397260274,0.0008162100456621005,5.442759295499022e-06
2.6950000000000003,0.010847602739726027,0.0007728310502283105,4.430310937160253e-06
2.705,0.01036986301369863,0.000718607305936073,3.83235485975212e-06
2.715,0.00916609589041096,0.0006113013698630137,3.4926070884974994e-06
2.725,0.00858904109589041,0.0005861872146118722,2.738367036312242e-06
2.7350000000000003,0.008099315068493151,0.0005256849315068493,2.3646444879321592e-06
2.745,0.0073767123287671234,0.0005062785388127854,1.8889976081756903e-06
2.755,0.006636986301369863,0.0004149543378995434,1.7463035442487497e-06
2.765,0.006325342465753425,0.0004126712328767123,1.2298869319417266e-06
2.7750000000000004,0.005919520547945206,0.0003504566210045662,1.372580995868667e-06
2.785,0.005321917808219178,0.00034817351598173516,1.1075777342900632e-06
2.795,0.004796232876712329,0.0002928082191780822,1.0600130463144162e-06
2.805,0.004094178082191781,0.00025057077625570775,7.066753642096107e-07
2.815,0.003852739726027397,0.00023515981735159816,7.27060230484888e-07
2.825,0.003768835616438356,0.00020034246575342465,6.93085453359426e-07
2.835,0.003053082191780822,0.00016609589041095891,3.737225483800826e-07
2.8449999999999998,0.002695205479452055,0.00016609589041095891,2.446183953033268e-07
2.855,0.0022945205479452057,0.00016495433789954337,2.1743857360295715e-07
2.865,0.002034246575342466,0.00014383561643835615,2.1743857360295715e-07
2.875,0.0019434931506849315,0.00013641552511415526,1.4269406392694064e-07
2.885,0.001631849315068493,9.360730593607307e-05,1.5628397477712548e-07
2.895,0.001434931506849315,9.988584474885845e-05,1.4269406392694064e-07
2.9050000000000002,0.001267123287671233,9.075342465753425e-05,1.9025875190258752e-07
2.915,0.0010239726027397261,9.988584474885845e-05,1.7666884105240268e-07
2.925,0.0009708904109589041,8.504566210045662e-05,5.435964340073929e-08
2.935,0.0009280821917808219,7.191780821917808e-05,5.435964340073929e-08
2.9450000000000003,0.0008356164383561644,4.737442922374429e-05,2.7179821700369644e-08
2.955,0.0006455479452054794,4.394977168949772e-05,3.397477712546206e-08
2.965,0.0005958904109589041,3.481735159817352e-05,3.397477712546206e-08
2.975,0.00047431506849315066,3.595890410958904e-05,1.3589910850184822e-08
2.9850000000000003,0.0003595890410958904,3.7100456621004565e-05,6.794955425092411e-09
2.995,0.0003595890410958904,3.595890410958904e-05,1.3589910850184822e-08
